[train 14:09:36] fresh init raw c549bc02e974 ema c549bc02e974 | 6400 library formations | 56 cells
[train 15:05:15] p134 games 2048 rw/bw/d 804/797/447 | rows 3029 steps 15 | pol -0.0009 val 1.0648 kl 0.00101 H 1.746 | ema ea3b7987 | 24s (play 17)
[train 15:05:39] p135 games 2048 rw/bw/d 777/806/465 | rows 3008 steps 15 | pol 0.0362 val 1.0716 kl 0.00068 H 1.740 | ema 315eeafb | 24s (play 17)
[train 15:06:04] p136 games 2048 rw/bw/d 792/782/474 | rows 3066 steps 15 | pol -0.0163 val 1.0703 kl 0.00090 H 1.736 | ema 3b0653db | 25s (play 18)
[train 15:06:28] p137 games 2048 rw/bw/d 784/809/455 | rows 3047 steps 15 | pol -0.0125 val 1.0675 kl 0.00075 H 1.732 | ema dda5c60e | 24s (play 18)
[train 15:06:52] p138 games 2048 rw/bw/d 802/774/472 | rows 2995 steps 15 | pol -0.0172 val 1.0715 kl 0.00015 H 1.734 | ema 1e689e25 | 24s (play 18)
[train 15:07:17] p139 games 2048 rw/bw/d 835/772/441 | rows 2999 steps 15 | pol 0.0119 val 1.0603 kl 0.00026 H 1.737 | ema 576504c8 | 25s (play 18)
[train 15:07:42] p140 games 2048 rw/bw/d 812/790/446 | rows 3048 steps 15 | pol -0.0345 val 1.0615 kl 0.00028 H 1.737 | ema ae2db016 | 25s (play 18)
[train 15:08:06] p141 games 2048 rw/bw/d 808/785/455 | rows 3027 steps 15 | pol 0.0222 val 1.0682 kl 0.00012 H 1.736 | ema 4783455b | 24s (play 17)
[train 15:08:30] p142 games 2048 rw/bw/d 788/791/469 | rows 2988 steps 15 | pol -0.0127 val 1.0703 kl 0.00011 H 1.734 | ema 771b3e48 | 24s (play 18)
[train 15:08:55] p143 games 2048 rw/bw/d 830/771/447 | rows 3041 steps 15 | pol 0.0046 val 1.0645 kl 0.00012 H 1.733 | ema 9cf26fb9 | 25s (play 18)
[train 15:09:19] p144 games 2048 rw/bw/d 802/782/464 | rows 3022 steps 15 | pol -0.0267 val 1.0674 kl 0.00017 H 1.734 | ema e7d734b1 | 24s (play 18)
[train 15:09:44] p145 games 2048 rw/bw/d 796/811/441 | rows 3046 steps 15 | pol 0.0424 val 1.0618 kl 0.00031 H 1.727 | ema 2e57a06c | 25s (play 18)
[train 15:10:09] p146 games 2048 rw/bw/d 757/815/476 | rows 3027 steps 15 | pol -0.0298 val 1.0729 kl 0.00020 H 1.732 | ema f86e113b | 24s (play 18)
[train 15:10:33] p147 games 2048 rw/bw/d 811/805/432 | rows 3007 steps 15 | pol 0.0283 val 1.0577 kl 0.00028 H 1.729 | ema c8e4e8a0 | 25s (play 18)
