scope_type,scope,model,bin,bin_lower,bin_upper,events,mean_confidence,accuracy,abs_gap,scope_ece
opponent_stratum,strategic_rule,baseline,8,0.533333,0.600000,1055,0.559880,0.723223,0.163342,0.015155
opponent_stratum,strategic_rule,baseline,9,0.600000,0.666667,1420,0.605335,0.604930,0.000405,0.015155
opponent_stratum,strategic_rule,baseline,10,0.666667,0.733333,1202,0.672966,0.722130,0.049164,0.015155
opponent_stratum,strategic_rule,baseline,11,0.733333,0.800000,328,0.750000,0.734756,0.015244,0.015155
opponent_stratum,strategic_rule,baseline,12,0.800000,0.866667,209,0.816108,0.784689,0.031419,0.015155
opponent_stratum,strategic_rule,baseline,13,0.866667,0.933333,0,,,,0.015155
opponent_stratum,strategic_rule,baseline,14,0.933333,1.000000,1002,1.000000,1.000000,0.000000,0.015155
opponent_stratum,tactical_rule,learned,0,0.000000,0.066667,0,,,,0.041599
opponent_stratum,tactical_rule,learned,1,0.066667,0.133333,345,0.129593,0.133333,0.003741,0.041599
opponent_stratum,tactical_rule,learned,2,0.133333,0.200000,159375,0.180358,0.160866,0.019492,0.041599
opponent_stratum,tactical_rule,learned,3,0.200000,0.266667,326793,0.232135,0.196130,0.036005,0.041599
opponent_stratum,tactical_rule,learned,4,0.266667,0.333333,198060,0.294400,0.226755,0.067645,0.041599
opponent_stratum,tactical_rule,learned,5,0.333333,0.400000,59378,0.360775,0.302250,0.058525,0.041599
opponent_stratum,tactical_rule,learned,6,0.400000,0.466667,26764,0.430460,0.409543,0.020917,0.041599
opponent_stratum,tactical_rule,learned,7,0.466667,0.533333,18793,0.498732,0.485926,0.012807,0.041599
opponent_stratum,tactical_rule,learned,8,0.533333,0.600000,14415,0.565067,0.550191,0.014876,0.041599
opponent_stratum,tactical_rule,learned,9,0.600000,0.666667,11928,0.632520,0.615610,0.016909,0.041599
opponent_stratum,tactical_rule,learned,10,0.666667,0.733333,10555,0.699594,0.690099,0.009494,0.041599
opponent_stratum,tactical_rule,learned,11,0.733333,0.800000,10449,0.766822,0.740358,0.026464,0.041599
opponent_stratum,tactical_rule,learned,12,0.800000,0.866667,11431,0.833614,0.765637,0.067976,0.041599
opponent_stratum,tactical_rule,learned,13,0.866667,0.933333,11674,0.899840,0.799469,0.100371,0.041599
opponent_stratum,tactical_rule,learned,14,0.933333,1.000000,10142,0.961878,0.872510,0.089368,0.041599
opponent_stratum,tactical_rule,baseline,0,0.000000,0.066667,0,,,,0.008444
opponent_stratum,tactical_rule,baseline,1,0.066667,0.133333,752,0.125502,0.130319,0.004817,0.008444
opponent_stratum,tactical_rule,baseline,2,0.133333,0.200000,396196,0.174825,0.179560,0.004735,0.008444
opponent_stratum,tactical_rule,baseline,3,0.200000,0.266667,381480,0.220271,0.226534,0.006263,0.008444
opponent_stratum,tactical_rule,baseline,4,0.266667,0.333333,58179,0.285779,0.311745,0.025965,0.008444
opponent_stratum,tactical_rule,baseline,5,0.333333,0.400000,20005,0.346458,0.387203,0.040745,0.008444
opponent_stratum,tactical_rule,baseline,6,0.400000,0.466667,7231,0.420285,0.488867,0.068583,0.008444
opponent_stratum,tactical_rule,baseline,7,0.466667,0.533333,3283,0.500000,0.544928,0.044928,0.008444
opponent_stratum,tactical_rule,baseline,8,0.533333,0.600000,678,0.565054,0.651917,0.086863,0.008444
opponent_stratum,tactical_rule,baseline,9,0.600000,0.666667,812,0.602586,0.646552,0.043966,0.008444
opponent_stratum,tactical_rule,baseline,10,0.666667,0.733333,722,0.671283,0.686981,0.015697,0.008444
opponent_stratum,tactical_rule,baseline,11,0.733333,0.800000,212,0.750000,0.764151,0.014151,0.008444
opponent_stratum,tactical_rule,baseline,12,0.800000,0.866667,50,0.800000,0.800000,0.000000,0.008444
opponent_stratum,tactical_rule,baseline,13,0.866667,0.933333,0,,,,0.008444
opponent_stratum,tactical_rule,baseline,14,0.933333,1.000000,502,1.000000,1.000000,0.000000,0.008444
