benchmark_state_id,state_ordinal,configuration,worlds,opponent_stratum,observer_color,progress_bucket,unresolved_pieces,hidden_pieces,public_state_identity,document_ms,forward_ms,sampling_ms,total_ms
phase11_benchmark_state_v1|ms=2026081901|n=022,22,forward_plus_32_worlds,32,phase9_selfplay,red,late,12,12,3d1762adff47c1525d1b4e85044ad29b7d1660368881ad377015257a217b6606,0.249625,1.339333,12.544958,14.133916
phase11_benchmark_state_v1|ms=2026081901|n=022,22,forward_plus_64_worlds,64,phase9_selfplay,red,late,12,12,3d1762adff47c1525d1b4e85044ad29b7d1660368881ad377015257a217b6606,0.246291,1.309959,24.97975,26.536
phase11_benchmark_state_v1|ms=2026081901|n=023,23,forward_only,0,phase9_selfplay,red,late,19,19,84501c61121503fec51ad6faa2071c66ce41c4ae4cb7bdebdff8507dee1bb550,0.286667,1.498167,0.070625,1.855459
phase11_benchmark_state_v1|ms=2026081901|n=023,23,forward_plus_16_worlds,16,phase9_selfplay,red,late,19,19,84501c61121503fec51ad6faa2071c66ce41c4ae4cb7bdebdff8507dee1bb550,0.247083,1.266667,7.855958,9.369708
phase11_benchmark_state_v1|ms=2026081901|n=023,23,forward_plus_32_worlds,32,phase9_selfplay,red,late,19,19,84501c61121503fec51ad6faa2071c66ce41c4ae4cb7bdebdff8507dee1bb550,0.252583,1.33825,15.678458,17.269291
phase11_benchmark_state_v1|ms=2026081901|n=023,23,forward_plus_64_worlds,64,phase9_selfplay,red,late,19,19,84501c61121503fec51ad6faa2071c66ce41c4ae4cb7bdebdff8507dee1bb550,0.264958,1.457542,31.034833,32.757333
phase11_benchmark_state_v1|ms=2026081901|n=024,24,forward_only,0,phase9_selfplay,red,late,25,25,b3f7d030f95f0b1d86e828be5d5ea3441fbb5a08b4407d06bf0d235c51e9f495,0.301916,1.619917,0.090708,2.012541
phase11_benchmark_state_v1|ms=2026081901|n=024,24,forward_plus_16_worlds,16,phase9_selfplay,red,late,25,25,b3f7d030f95f0b1d86e828be5d5ea3441fbb5a08b4407d06bf0d235c51e9f495,0.266708,1.309917,8.952417,10.529042
phase11_benchmark_state_v1|ms=2026081901|n=024,24,forward_plus_32_worlds,32,phase9_selfplay,red,late,25,25,b3f7d030f95f0b1d86e828be5d5ea3441fbb5a08b4407d06bf0d235c51e9f495,0.285542,1.837,18.353708,20.47625
phase11_benchmark_state_v1|ms=2026081901|n=024,24,forward_plus_64_worlds,64,phase9_selfplay,red,late,25,25,b3f7d030f95f0b1d86e828be5d5ea3441fbb5a08b4407d06bf0d235c51e9f495,0.292416,1.652209,35.385416,37.330041
