[coadapt 01:02:24] verifying the accepted corpus identity and every payload
[coadapt 01:03:37] fresh lineage: setup init digest c0f532e75d80 (ckpt_1024 EMA c0f532e75d80), C1 init cfe60bb0cb34
[coadapt 01:05:45] [control] period 1/256: games 1141 (in flight 2551), c1 step 64, setup frozen, 120.54 s, bundle 2feec01b324e
[coadapt 01:05:46] period 1/256 in 129 s
[coadapt 01:05:52] verifying the accepted corpus identity and every payload
[coadapt 01:07:13] resumed from bundle_0001 at period 1
[coadapt 06:49:24] [control] period 151/256: games 1902 (in flight 2552), c1 step 9664, setup frozen, 139.206 s
[coadapt 06:51:55] [control] period 152/256: games 1829 (in flight 2551), c1 step 9728, setup frozen, 150.998 s
[coadapt 06:54:26] [control] period 153/256: games 1855 (in flight 2550), c1 step 9792, setup frozen, 150.651 s
[coadapt 06:56:43] [control] period 154/256: games 1849 (in flight 2547), c1 step 9856, setup frozen, 136.791 s
[coadapt 06:59:22] [control] period 155/256: games 1948 (in flight 2552), c1 step 9920, setup frozen, 159.022 s
[coadapt 07:02:06] [control] period 156/256: games 1931 (in flight 2550), c1 step 9984, setup frozen, 163.708 s
[coadapt 07:04:40] [control] period 157/256: games 1870 (in flight 2556), c1 step 10048, setup frozen, 153.796 s
[coadapt 07:07:03] [control] period 158/256: games 1899 (in flight 2551), c1 step 10112, setup frozen, 142.813 s
[coadapt 07:09:42] [control] period 159/256: games 1916 (in flight 2545), c1 step 10176, setup frozen, 159.34 s
[coadapt 07:12:36] [control] period 160/256: games 1843 (in flight 2553), c1 step 10240, setup frozen, 158.184 s, bundle 37da17081368
[coadapt 07:14:52] [control] period 161/256: games 1893 (in flight 2547), c1 step 10304, setup frozen, 135.841 s
[coadapt 07:17:25] [control] period 162/256: games 1852 (in flight 2554), c1 step 10368, setup frozen, 152.804 s
[coadapt 07:20:02] [control] period 163/256: games 1880 (in flight 2552), c1 step 10432, setup frozen, 157.012 s
[coadapt 07:22:27] [control] period 164/256: games 1856 (in flight 2550), c1 step 10496, setup frozen, 144.817 s
[coadapt 07:25:05] [control] period 165/256: games 1934 (in flight 2556), c1 step 10560, setup frozen, 158.384 s
[coadapt 07:27:35] [control] period 166/256: games 1935 (in flight 2546), c1 step 10624, setup frozen, 149.768 s
[coadapt 07:30:02] [control] period 167/256: games 1869 (in flight 2551), c1 step 10688, setup frozen, 146.142 s
[coadapt 07:32:28] [control] period 168/256: games 1897 (in flight 2549), c1 step 10752, setup frozen, 146.25 s
[coadapt 07:35:02] [control] period 169/256: games 1857 (in flight 2547), c1 step 10816, setup frozen, 153.498 s
[coadapt 07:37:40] [control] period 170/256: games 1895 (in flight 2546), c1 step 10880, setup frozen, 158.252 s
[coadapt 07:40:01] [control] period 171/256: games 1878 (in flight 2548), c1 step 10944, setup frozen, 140.842 s
[coadapt 07:42:43] [control] period 172/256: games 1855 (in flight 2555), c1 step 11008, setup frozen, 162.304 s
[coadapt 07:45:27] [control] period 173/256: games 1891 (in flight 2550), c1 step 11072, setup frozen, 162.913 s
[coadapt 07:47:48] [control] period 174/256: games 1852 (in flight 2556), c1 step 11136, setup frozen, 141.302 s
[coadapt 07:50:26] [control] period 175/256: games 1882 (in flight 2548), c1 step 11200, setup frozen, 157.414 s
[coadapt 07:53:03] [control] period 176/256: games 1910 (in flight 2550), c1 step 11264, setup frozen, 157.039 s
[coadapt 07:55:23] [control] period 177/256: games 1850 (in flight 2555), c1 step 11328, setup frozen, 140.158 s
[coadapt 07:57:59] [control] period 178/256: games 1919 (in flight 2551), c1 step 11392, setup frozen, 155.68 s
[coadapt 08:00:42] [control] period 179/256: games 1916 (in flight 2546), c1 step 11456, setup frozen, 162.514 s
[coadapt 08:03:09] [control] period 180/256: games 1851 (in flight 2547), c1 step 11520, setup frozen, 146.867 s
[coadapt 08:05:54] [control] period 181/256: games 1888 (in flight 2551), c1 step 11584, setup frozen, 165.39 s
[coadapt 08:08:38] [control] period 182/256: games 1899 (in flight 2551), c1 step 11648, setup frozen, 163.813 s
[coadapt 08:10:54] [control] period 183/256: games 1912 (in flight 2557), c1 step 11712, setup frozen, 136.049 s
[coadapt 08:13:44] [control] period 184/256: games 1855 (in flight 2554), c1 step 11776, setup frozen, 169.097 s
[coadapt 08:16:23] [control] period 185/256: games 1893 (in flight 2554), c1 step 11840, setup frozen, 159.024 s
[coadapt 08:18:38] [control] period 186/256: games 1836 (in flight 2553), c1 step 11904, setup frozen, 135.357 s
[coadapt 08:21:29] [control] period 187/256: games 1878 (in flight 2549), c1 step 11968, setup frozen, 170.643 s
[coadapt 08:24:16] [control] period 188/256: games 1918 (in flight 2553), c1 step 12032, setup frozen, 166.493 s
[coadapt 08:26:34] [control] period 189/256: games 1901 (in flight 2555), c1 step 12096, setup frozen, 138.039 s
[coadapt 08:29:23] [control] period 190/256: games 1875 (in flight 2548), c1 step 12160, setup frozen, 169.144 s
[coadapt 08:31:44] [control] period 191/256: games 1877 (in flight 2551), c1 step 12224, setup frozen, 140.335 s
[coadapt 08:34:36] [control] period 192/256: games 1920 (in flight 2549), c1 step 12288, setup frozen, 157.132 s, bundle 3e520efd8df8
[coadapt 08:37:20] [control] period 193/256: games 1907 (in flight 2547), c1 step 12352, setup frozen, 163.854 s
[coadapt 08:39:43] [control] period 194/256: games 1912 (in flight 2549), c1 step 12416, setup frozen, 143.27 s
[coadapt 08:42:25] [control] period 195/256: games 1878 (in flight 2555), c1 step 12480, setup frozen, 161.457 s
[coadapt 08:44:56] [control] period 196/256: games 1892 (in flight 2552), c1 step 12544, setup frozen, 150.826 s
[coadapt 08:47:27] [control] period 197/256: games 1866 (in flight 2550), c1 step 12608, setup frozen, 151.35 s
[coadapt 08:50:03] [control] period 198/256: games 1928 (in flight 2554), c1 step 12672, setup frozen, 155.264 s
[coadapt 08:52:32] [control] period 199/256: games 1926 (in flight 2547), c1 step 12736, setup frozen, 149.283 s
[coadapt 08:55:05] [control] period 200/256: games 1893 (in flight 2551), c1 step 12800, setup frozen, 152.296 s
[coadapt 08:57:32] [control] period 201/256: games 1886 (in flight 2554), c1 step 12864, setup frozen, 147.212 s
